,en,ko,fr,es,de
Abstract,Congratulations! You have passed the assessment stage! You are ready to deepen your knowledge about how cognitive business operations can enhance process and decision management.,축하합니다! 귀하는 자가진단 단계를 완료하였습니다! 귀하는 코그너티브 비즈니스 오퍼레이션이 어떻게 비즈니스 프로세스와 업무적 의사결정 관리를 개선할 수 있는지 확인하실 수 있습니다.,Félicitations ! Vous venez de passer l'étape d'évaluation. Vous voilà prêt à approfondir vos connaissances pour savoir comment les opérations commerciales cognitives peuvent améliorer la gestion de la prise de décision et les processus.,¡Felicitaciones! ¡Ha pasado la etapa de evaluación! Ya está listo para ampliar su conocimiento sobre cómo las operaciones empresariales cognitivas pueden mejorar la gestión de procesos y decisiones.,"Glückwunsch! Sie haben das Assessment bestanden.
 Wir zeigen Ihnen nun, wie Sie Ihre Prozess- und Geschäftsregeln-Umgebung mit Cognitive Business Operations anreichern können."
,,,,,
Offer 1,,,,,
Title,Hear the Truth,진실을 알려드립니다,Apprendre la vérité,Conozca la verdad,Das sind die Fakten
Text,"Are you skeptical about the benefits of Cognitive Business Operations? Perhaps it sounds like something that would be too expensive for your company, or too risky, or simply just not something a company could endeavor upon just yet. At this stage in your journey, it's normal to wonder about these things - revolutionary technology has a tendency to invoke these sentiments.",코그너티브 비즈니스 오퍼레이션이 제공할 수 있는 혜택에 대해 의심하고 계십니까? 너무 비싸거나 너무 위험하다고 보십니까? 아직 귀사에서 적용할 수 없는 영역이라고 생각하십니까? 이런 의심을 갖는 것은 당연합니다. 그러나 혁신적인 기술들은 언제나 이런 질문들과 함께 해왔습니다.,"Êtes-vous sceptique quant aux avantages des opérations commerciales cognitives ? Peut-être vous semblent-t-elles trop chères ou risquées pour votre entreprise, ou ne sont-elles pas encore le genre d'initiative que votre entreprise peut se permettre de prendre. À ce stade, rien de plus normal que de se poser ce genre de questions, les technologies révolutionnaires ont tendance à générer des sentiments de cette nature.","¿Es escéptico respecto de los beneficios de las operaciones empresariales cognitivas? Quizá suena como algo demasiado caro para su empresa, demasiado arriesgado o simplemente algo que su empresa aún no podría implementar. En esta etapa de su transición es normal tener estas dudas. La tecnología revolucionaria tiende a generar esos sentimientos.","Klingen die Vorteile von Cognitive Business Operations für Sie unglaubwürdig ? Vielleicht hört es sich nach etwas an, was für Ihr Unternehmen zu teuer oder zu riskant ist ? Oder ist es etwas, das für Unternehmen noch nicht realistisch ist? Auf dieser Etappe Ihrer Reise ist es normal, sich diese Dinge zu fragen – revolutionäre Technologie tendiert dazu, diese Gefühle zu aktivieren."
,,,,,
,"Well, there's good news: It's real, attainable, and ready to implement right now.","좋은 소식이 바로 여기 있습니다. 실제적이고, 구현할 수 있고, 바로 실행할 준비가 되어 있다는 점입니다.","Eh bien, bonne nouvelle : Celles-ci sont réelles, abordables et prêtes pour leur mise en œuvre immédiate.","Bueno, aquí las buenas noticias: es real, asequible y lista para implementarla al instante.","Nun, es gibt gute Neuigkeiten: es ist echt, erreichbar und steht sofort zur Verfügung."
,,,,,
,"Jim Casey, Senior Product Manager, is here to let you in on the truth about Cognitive Business Operations. After watching this video, you'll be one step closer to processes and decisions that sense, respond,and learn.","IBM의 제품 관리 담당 임원(Senior Product Manager)인 Jim Casey가 여러분에게 코그너티브 비즈니스 오퍼레이션에 대한 진실을 전달해 드릴 것입니다. 비디오를 보시고 나면 감지하고, 반응하고, 학습하는 다음 단계로 나아가게 될 것입니다.","Le Directeur principal des produits, Jim Casey, est là pour vous apporter toute la lumière concernant les opérations commerciales cognitives. À la fin de cette vidéo, vous aurez fait un pas de plus vers les processus et décisions qui captent, réagissent et apprennent.","Jim Casey, Director Seniorde producto, está aquí para que conozca la verdad sobre las operaciones empresariales cognitivas. Después de ver este video se encontrará un paso más cerca de los procesos y las decisiones que brindan un sentido, una respuesta y un aprendizaje.","Von Jim Casey (Senior Produkt Manager) erfahren Sie einige Fakten zu Cognitive Business Operations. Dieses Video bringt Sie noch einen Schritt näher an Prozesse und Entscheidungen, die fühlen, antworten und lernen können."
CTA,Watch the video,비디오 보기,Regardez la vidéo,Ver el video,Sehen Sie sich das Video an.
,,,,,
Offer 2,,,,,
Title,Hear from an expert,전문가 의견,Un expert témoigne,Escuchar a un experto,Das sagt der Experte
Text,Start your journey with an inside look at how cognitive technology is transforming the field of business process management (BPM.),코그너티브 기술이 비즈니스 프로세스 관리 영역을 어떻게 변화시키고 있는지 확인하십시오.,Entamez votre voyage en voyant de l'intérieur comment la technologie cognitive transforme le domaine de la gestion des processus d'affaires (BPM).,"Comience su transición con una mirada sobre cómo la tecnología cognitiva está transformando el campo de la gestión de procesos empresariales (Business Process Management, BPM).","Beginnen Sie Ihre Reise mit einem Einblick darin, wie kognitive Technologie den Bereich Business Process Management (BPM) verwandelt."
,,,,,
,"Understanding the importance of BPM as a foundation of Cognitive Business Operations is a big step in your progress toward automating your processes, augmenting your knowledge workers and discovering new insights.","BPM을 코그너티브 비즈니스 오퍼레이션의 중요한 기반 기술로 인식하는 것은 귀사의 프로세스 자동화, 업무 전문가 역량 강화, 새로운 통찰력 확보를 위한 중요한 첫 걸음입니다.","S'il y a une grande étape avant l'automatisation de vos processus, le renforcement de vos travailleurs intellectuels et la découverte de nouvelles perspectives c'est bien de comprendre l'importance de la BPM en tant que fondement des opérations commerciales cognitives.","Entender la importancia de BPM como el cimiento de las operaciones empresariales cognitivas es un gran paso en su progreso hacia la automatización de sus procesos, el aumento del conocimiento de sus empleados y el descubrimiento de nuevos enfoques.","Das Verständnis für die Wichtigkeit von BPM als Grundlage von Cognitive Business Operations ist ein großer Schritt zur Automatisierung Ihrer Prozesse, zur Steigerung des Wissens Ihrer Fachkräfte und zur Entdeckung neuer Einblicke."
CTA,Watch the video,비디오 보기,Regardez la vidéo,Ver el video,Sehen Sie sich das Video an.
,,,,,
Resources,,,,,
Title,Related Resources,관련 리소스,Ressources connexes,Recursos relacionados,Weitere ergänzende Informationen
,,,,,
Resource 1,,,,,
Shape,Blog,블로그,Blog,Blog,Blog
Abstract,See the criteria used to infuse business ops with cognitive computing,코그너티브 비즈니스 오퍼레이션에 코그너티브 컴퓨팅을 접목시키는 기준,Voyez les critères utilisés pour sensibiliser les exploitants d'entreprise à l'informatique cognitive.,Mire los criterios utilizados para mezclar las operaciones empresariales con la informática cognitiva,"Sehen Sie die Kriterien, die benutzt werden, um kognitive Technologie in Geschäftsabläufe einfließen zu lassen."
CTA,Learn more,자세히 보기,En savoir plus,Conocer más,Mehr Informationen
,,,,,
Resource 2,,,,,
Shape,Watch,비디오,Voir,Ver,Ansehen
Abstract,Ushering your business into the Cognitive Era Video.,코그너티브 시대로 귀사의 비즈니스 인도,Vidéo : « Faire entrer son entreprise dans l'ère du cognitif ».,Video: guiar a su empresa hacia la era cognitiva.,Video: Führen Sie Ihr Unternehmen in die kognitive Epoche ein.
CTA,Watch the video,비디오 보기,Regardez la vidéo,Ver el video,Sehen Sie sich das Video an.
,,,,,
Resource 4,,,,,
Shape,Website,웹사이트,Site internet,Sitio web,Webseite
Abstract,Continue exploring cognitive business operations,코그너티브 비즈니스 오퍼레이션 웹페이지,Poursuivez l'exploration des opérations commerciales cognitives,Continuar explorando las operaciones empresariales cognitivas,Mehr zu Cognitive Business Operations
,,,,,
Build,,,,,
Title,You're well on your way!,귀하는 시작할 준비가 되었습니다!,Vous êtes en bonne voie !,¡Está bien encaminado!,Sie sind auf dem besten Weg!
Abstract,Congratulations! You understand and see the value that cognitive technology can bring to your business operations. You're ready to design the right solution for your organization.,축하합니다. 귀하는 코그너티브 기술이 귀사의 비즈니스에 가져올 수 있는 가치를 잘 이해하고 있습니다. 귀하는 올바른 솔루션을 설계할 준비가 되었습니다.,"Félicitations ! Désormais, vous devriez comprendre et voir la valeur ajoutée par les technologies cognitives à votre exploitation commerciale. Vous voilà prêt à concevoir la solution idéale pour votre organisation.",¡Felicitaciones! Entiende y reconoce el valor que la tecnología cognitiva le puede aportar a sus operaciones empresariales. Ya está listo para diseñar la solución adecuada para su organización.,"Glückwunsch! Sie verstehen und sehen den Wert, den kognitive Technologie Ihnen bringen kann. Sie sind bereit, die für Ihr Unternehmen beste Lösung zu entwerfen."
,,,,,
Offer 3,,,,,
Title,Watch the demo,데모 보기,Voir la démonstration,Ver la demostración,Sehen Sie sich die Demo an.
Text,"Whether you're looking to enhance your customer experience, save time on tasks and procedures, or route work more efficiently and effectively, Cognitive Business Operations can help you accomplish these goals. This demonstration is one example of Cognitive Business Operations in action. It illustrates the benefits Watson technology can have on BPM. After you watch this demo, you'll be one step closer to building processes and decisions that sense, respond, and learn.","코그너티브 비즈니스 오퍼레이션은 고객 경험 향상, 작업 절차에 소요되는 시간 최소화, 업무 효율성 향상 등의 목표를 달성할 수 있도록 도와줍니다. 이 데모는 실제 운영하고 있는 코그너티브 비즈니스 오퍼레이션의 한 사례입니다. BPM 위에서 구동되는 IBM Watson 데모를 시청하면, 귀하는 감지, 응답 및 학습하는 프로세스와 의사결정 구축에 한 걸음 더 가까이 다가가게 될 것입니다.","Que vous cherchiez à améliorer votre expérience client, à gagner du temps dans l'exécution des tâches et procédures ou même à diriger le travail de manière plus efficace et efficiente, les opérations commerciales cognitives peuvent vous aider à atteindre ces objectifs. Cette démonstration est un exemple des opérations commerciales cognitives à l'œuvre. Elle présente les avantages que peut tirer la technologie Watson du BPM. À la fin de cette vidéo de démonstration, vous aurez fait un pas de plus vers la création de processus et décisions qui captent, réagissent et apprennent.","Si usted está buscando mejorar la experiencia de sus clientes, ahorrar tiempo en las tareas y procedimientos o encaminar el trabajo de manera más eficiente, las operaciones empresariales cognitivas pueden ayudarlo a lograr estos objetivos. Esta demostración es un ejemplo de las operaciones empresariales cognitivas en acción. Ilustra los beneficios que la tecnología Watson puede brindarle a BPM. Después de ver esta demostración se encontrará un paso más cerca de diseñar procesos y decisiones que brindan un sentido, una respuesta y un aprendizaje.","Ob Sie die Zufriedenheit Ihrer Kunden verbessern wollen, Ihre Prozesse optimieren oder Aufgaben effizienter und effektiver verteilen wollen, Cognitive Business Operations kann Ihnen beim Erreichen dieser Ziele helfen. Diese Demonstration ist ein Beispiel für Cognitive Business Operations 'in Action'. Es zeigt die Vorteile, die die Watson Technologie in Verbindung mit BPM bringen kann. Wenn Sie diese Demo gesehen haben, sind Sie einen Schritt näher an Prozessen und Entscheidungen, die spüren, antworten und lernen können."
,,,,,
Resources,,,,,
Title,Related Resources,관련 리소스,Ressources connexes,Recursos relacionados,Weitere ergänzende Informationen
,,,,,
Resource 1,,,,,
Shape,Demo,데모,Démonstration,Demostración,Demo
Abstract,See how BPM + IBM Watson can help with high-value recruitment processes.,"BPM과 IBM Watson이 결합하면, 어떻게 기업의 채용 과정에서 고부가가치를 제공할 수 있는지 확인하십시오.",Voyez comment BPM et IBM Watson peuvent aider en matière de processus de recrutement à valeur élevée.,Observe cómo BPM + IBM Watson pueden ayudar con los procesos de contratación de alto nivel.,"Sehen Sie, wie BPM + IBM Watson bei anspruchsvollen Einstellungsprozessen helfen kann."
CTA,Learn more,자세히 보기,En savoir plus,Conocer más,Erfahren Sie mehr
,,,,,
Resource 2,,,,,
Shape,Community,커뮤니티,Communauté,Comunidad,Community
Abstract,Engage with others in the BPM Community at bpm/DEV.,BPM 개발자 커뮤니티에서 같은 고민을 가진 사람들과 교류하세요.,Engagez vous avec les autres dans la communauté BPM à bpm/DEV.,Entable conversaciones en la comunidad BPM en bpm/DEV.,Treten Sie in Kontakt mit anderen in der BPM Community bpm/DEV.
CTA,Join Us,가입하기,Nous rejoindre,Únase,Treten Sie bei
,,,,,
Resource 3,,,,,
Shape,Website,웹사이트,Site internet,Sitio web,Webseite
Abstract,Continue exploring cognitive business operations,코그너티브 비즈니스 오퍼레이션 웹페이지,Poursuivez l'exploration des opérations commerciales cognitives,Continuar explorando las operaciones empresariales cognitivas,Mehr zu Cognitive Business Operations
CTA,Visit the website,웹사이트를 방문하세요.,Visiter le site internet,Visite el sitio web,Besuchen Sie die Webseite
,,,,,
Rollout,,,,,
Title,You’re a cognitive rock star!,귀하가 바로 코그너티브 슈퍼스타입니다!,Vous êtes une rock star des technologies cognitives !,¡Ya es un profesional de la tecnología cognitiva!,Sie sind ein kognitiver Rockstar!
Abstract,Congratulations! You are among the select few who have unlocked the power of cognitive business operations.,축하합니다! 귀하는 코그너티브 비즈니스 오퍼레이션의 숨은 힘을 발견한 얼마 안 되는 분에 속합니다.,Félicitations ! Vous êtes parmi les rares à avoir débloqué la puissance des opérations commerciales cognitives.,¡Felicitaciones! Se encuentra entre los pocos seleccionados que han comprendido el poder de las operaciones empresariales cognitivas.,"Glückwunsch! Sie sind unter den wenigen Auserwählten, die die Kraft von Cognitive Business Operations freigesetzt haben."
,,,,,
Offer 1,,,,,
Title,Share and learn,공유 및 학습,Partager et apprendre,Compartir y conocer,Teilen und lernen Sie
Abstract,Engage with others in the BPM Community at bpm/DEV.,BPM 개발자 커뮤니티에서 같은 고민을 가진 사람들과 교류하세요.,Engagez vous avec les autres dans la communauté BPM à bpm/DEV.,Entable conversaciones en la comunidad BPM en bpm/DEV.,Treten Sie in Kontakt mit anderen in der BPM Community bpm/DEV.
CTA,Join the community,커뮤니티 가입,Intégrer la communauté,Únase a la comunidad,Treten Sie der Community bei.
Additional Content,"Engage with other developers in the BPM community and access how-to videos, product demonstrations, and partner assets.","BPM 커뮤니티에서 다른 개발자들과 교류하고, 실습 비디오, 제품 데모, 파트너 자산 등을 확인해 보세요.","Engagez vous avec les autres développeurs dans la communauté BPM et accédez à des tutoriels vidéos, des démonstrations de produits et autres atouts des partenaires.","Converse con otros desarrolladores en la comunidad BPM y acceda a videos instructivos, demostraciones de productos y activos de socios.","Kommunizieren Sie mit anderen Entwicklern in der BPM Community. Hier haben Sie Zugang zu hilfreichen Videos, Produkt-Demos und mehr."
,,,,,
,"In this single location, knowledge and experiences are shared to help all members learn, use, and connect. From foundational solutions to advanced cognitive applications, you'll find helpful resources to explore. Now that you are implementing cognitive in your business, share your experiences as a cognitive rock star.","이 커뮤니티를 통해 다양한 지식과 경험을 공유할 수 있으며, 기초적인 솔루션부터 고급 코그너티브 애플리케이션까지 유용한 리소스들을 찾아볼 수 있습니다. 귀하는 이미 코그너티브 비즈니스를 실행하고 있기 때문에, 코그너티브 슈퍼스타 관점에서 귀하의 경험을 공유하시기 바랍니다.","À cet endroit unique sont partagés connaissances et expériences pour aider tous les membres à apprendre, utiliser et se connaître. Entre solutions basiques et applications cognitives avancées, vous y trouverez des ressources utiles à explorer. À présent que vous mettez en œuvre les technologies cognitives dans votre activité, partagez votre expérience comme une rock star des technologies cognitives.","Solo en este lugar se comparten conocimientos y experiencias para ayudar a todos los miembros a aprender, usar y conectarse. Desde soluciones de base hasta implementaciones cognitivas de avanzada, encontrará útiles recursos para explorar. Ahora que implementa la tecnología cognitiva en su empresa, comparta sus experiencias como un profesional del tema.","Hier werden Wissen und Erfahrungen ausgetauscht, um allen Mitgliedern das Lernen, die Anwendung und die gemeinsame Kommunikation zu vereinfachen. Sie finden hier viele hilfreiche Beiträge - von einfachen Grundlagen bis hin zu anspruchsvollen kognitiven Anwendungen. Teilen Sie Ihre Erfahrungen mit Cognitive Business Operations mit anderen."
,,,,,
Resources,,,,,
Title,Related Resources,관련 리소스,Ressources connexes,Recursos relacionados,Weitere ergänzende Informationen
,,,,,
Resource 1,,,,,
Shape,Share,공유,Partager,Compartir,Teilen
Abstract,Share your cognitive business operations success with the world.,귀하의 코그너티브 비즈니스 오퍼레이션 성공 스토리를 전세계에 공유하세요.,Partagez avec le monde votre réussite avec les opérations commerciales cognitives.,Comparta el éxito de sus operaciones empresariales cognitivas con el mundo.,Teilen Sie Ihre Erfolge mit Cognitive Business Operations mit anderen weltweit.
CTA,Learn more,자세히 보기,En savoir plus,Conocer más,Mehr Informationen
,,,,,
Resource 3,,,,,
Shape,Community,커뮤니티,Communauté,Comunidad,Community
Abstract,Join the IBM Operational Decision Manager Community.,IBM Operational Decision Manager 커뮤니티에 가입하세요.,Intégrez la communauté des Directeurs d'exploitation IBM.,Únase a la comunidad de gerentes de decisiones operativas de IBM.,Treten Sie der IBM Operational Decision Manager Community bei.
CTA,Join Us,가입하기,Nous rejoindre,Únase,Treten Sie bei
,,,,,
Resource 4,,,,,
Shape,Community,커뮤니티,Communauté,Comunidad,Community
Abstract,Join the IBM Middleware User Community.,IBM 미들웨어 사용자 커뮤니티에 가입하세요.,Intégrer la communauté des utilisateurs d'intergiciels IBM.,Únase a la comunidad de usuarios de Middleware de IBM.,Treten Sie der IBM Middleware Community bei.
,,,,,
BPM eBook Copy,,,,,
In shape,Learn more,자세히 보기,En savoir plus,Conozca más,Mehr Informationen
Description,See how IBM Business Process Manager can help your organization become more agile and efficient,IBM Business Process Manager가 귀사를 어떻게 더욱 민첩하고 효율적으로 만들 수 있는지 확인해 보세요,Découvrez comment IBM Business Process Manager peut rendre votre organisation plus agile et plus efficace,Descubra cómo IBM Business Process Manager puede ayudar a su organización a ser más ágil y eficiente,"Sehen Sie, wie der IBM Business Process Manager Ihnen dabei helfen kann, Ihr Unternehmen agiler und effizienter zu gestalten."
CTA,Download the ebook,전자책 다운로드,Télécharger le livre électronique,Descargar el libro electrónico,Das e-Book herunterladen
,,,,,
ODM eBook Copy,,,,,
In Shape,Learn more,자세히 보기,En savoir plus,Conozca más,Mehr Informationen
Description,See how IBM Operational Decision Manager can help your organization make the right decisions at the right time,IBM Operational Decision Manager가 어떻게 귀사의 적절한 의사결정을 지원하는지 확인해 보세요,Découvrez comment IBM Operational Decision Manager peut aider votre organisation à prendre les bonnes décisions au moment opportun,Descubra cómo IBM Operational Decision Manager puede ayudar a su organización a tomar las decisiones adecuadas en el momento oportuno,"Sehen Sie, wie der IBM Operational Decision Manager Ihrem Unternehmen dabei helfen kann, die richtigen Entscheidungen zur richtigen Zeit zu treffen."
CTA,Download the ebook,전자책 다운로드,Télécharger le livre électronique,Descargar el libro electrónico,Das e-Book herunterladen
,,,,,
Metrics Headers,,,,,
,Asset1,자산1,Actif1,Activo1,Posten1
,Asset2,자산2,Actif2,Activo2,Posten2
,Asset3,자산3,Actif3,Activo3,Posten3
,Asset4,자산4,Actif4,Activo4,Posten4
,Asset5,자산5,Actif5,Activo5,Posten5
,Belief,신념,Croyance,Convicción,Überzeugung
,Cog Goals,코그너티브 목표,Objectif cognitif,Objetivos cognitivos,Kognitive Ziele
,Cognitive Software,코그너티브 소프트웨어,Logiciel cognitif,Software cognitivo,Kognitive Software
,Comp Size,회사 규모,Taille de composant,Tamaño de la computadora,Firmengröße
,Country,국가,Pays,País,Land
,Familiar,친숙도,Familier,Familiar,Vertraut
,In Conjunction,관련,En parallèle,En combinación,In Verbindung mit
,Industry,산업,Secteur,Industria,Branche
,Link1,링크1,Lien1,Enlace1,Link1
,Link2,링크2,Lien2,Enlace2,Link2
,Link3,링크3,Lien3,Enlace3,Link3
,Link4,링크4,Lien4,Enlace4,Link4
,Link5,링크5,Lien5,Enlace5,Link5
,Obstacle,장애,Obstacle,Obstáculo,Hindernis
,Referrer URL,접속 경로 URL,Adresse du référent,URL de procedencia,Zugewiesene URL
,Result,결과,Résultat,Resultado,Ergebnis
,Role,역할,Rôle,Rol,Rolle
,Scale,규모,Échelle,Escala,Umfang
,Session,세션,Séance,Sesión,Sitzung
,Software,소프트웨어,Logiciel,Software,Software
,Software2,소프트웨어2,Logiciel2,Software2,Software2
,Software3,소프트웨어3,Logiciel3,Software3,Software3
,Timestamp,타임스탬프,Horodatage,Marca de tiempo,Zeitstempel
,Use Case,적용 시나리오,Cas d'usage,Caso de uso,Anwendungsfall
Dynamic Links,,,,,
,http://www.ibm.com/middleware/us-en/solutions/intelligent-business/business-process-improvement/,,https://www.ibm.com/middleware/fr-fr/solutions/intelligent-business/business-process-improvement/,,
,http://public.dhe.ibm.com/common/ssi/ecm/ws/en/wsm14002usen/WSM14002USEN.PDF,,,,https://www-01.ibm.com/marketing/iwm/iwm/web/signup.do?source=sw-app&S_PKG=ov27846&S_TACT=109KA6HW&lang=de_DE
,https://www.ibm.com/marketplace/cloud/process-modeling-in-the-cloud/us/en-us,,,,https://www.ibm.com/marketplace/cloud/process-modeling-in-the-cloud/de/de-de
,https://www.ibm.com/marketplace/cloud/operational-decision-management/us/en-us,,,,https://www.ibm.com/marketplace/cloud/operational-decision-management/de/de-de
,https://www.ibm.com/marketplace/cloud/process-management-software-in-the-cloud/us/en-us,,,,https://www.ibm.com/marketplace/cloud/process-management-software-in-the-cloud/de/de-de
